placekey,location_name,street_address,city,date_range_start,latitude,longitude,raw_visit_counts,Rank,same_day_brand,same_day_brand_value,same_month_brand,same_month_brand_value
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-08-01T00:00:00-05:00,41.850685,-87.802817,251,5,Walmart,5,Shell Oil,42
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-03-01T00:00:00-06:00,41.850685,-87.802817,244,1,McDonald's,8,McDonald's,56
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-03-01T00:00:00-06:00,41.850685,-87.802817,244,2,Starbucks,5,Walmart,44
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-03-01T00:00:00-06:00,41.850685,-87.802817,244,3,Target,5,Walgreens,42
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-03-01T00:00:00-06:00,41.850685,-87.802817,244,4,BP,5,Target,41
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-03-01T00:00:00-06:00,41.850685,-87.802817,244,5,Ross Stores,5,Ross Stores,34
226-222@627-xrx-hkf,Chipotle Mexican Grill,1090 The Arches Cir,Deer Park,2021-08-01T00:00:00-04:00,40.764625,-73.306642,496,1,TangerOutlets,100,TangerOutlets,100
226-222@627-xrx-hkf,Chipotle Mexican Grill,1090 The Arches Cir,Deer Park,2021-08-01T00:00:00-04:00,40.764625,-73.306642,496,2,Christmas Tree Shops,11,McDonald's,50
226-222@627-xrx-hkf,Chipotle Mexican Grill,1090 The Arches Cir,Deer Park,2021-08-01T00:00:00-04:00,40.764625,-73.306642,496,3,Yankee Candle,7,Target,47
226-222@627-xrx-hkf,Chipotle Mexican Grill,1090 The Arches Cir,Deer Park,2021-08-01T00:00:00-04:00,40.764625,-73.306642,496,4,Nathan's Famous,6,Starbucks,44
226-222@627-xrx-hkf,Chipotle Mexican Grill,1090 The Arches Cir,Deer Park,2021-08-01T00:00:00-04:00,40.764625,-73.306642,496,5,Starbucks,6,CVS,44
zzw-222@63j-r6p-6x5,Chipotle Mexican Grill,10711 Fremont Pike,Perrysburg,2021-04-01T00:00:00-04:00,41.548496,-83.600682,693,1,McDonald's,12,McDonald's,69
zzw-222@63j-r6p-6x5,Chipotle Mexican Grill,10711 Fremont Pike,Perrysburg,2021-04-01T00:00:00-04:00,41.548496,-83.600682,693,2,Tim Hortons,7,Walmart,51
zzw-222@63j-r6p-6x5,Chipotle Mexican Grill,10711 Fremont Pike,Perrysburg,2021-04-01T00:00:00-04:00,41.548496,-83.600682,693,3,Speedway,7,Chick-fil-A,45
zzw-222@63j-r6p-6x5,Chipotle Mexican Grill,10711 Fremont Pike,Perrysburg,2021-04-01T00:00:00-04:00,41.548496,-83.600682,693,4,Chick-fil-A,6,Speedway,43
zzw-222@63j-r6p-6x5,Chipotle Mexican Grill,10711 Fremont Pike,Perrysburg,2021-04-01T00:00:00-04:00,41.548496,-83.600682,693,5,Walmart,6,Wendy's,42
222-222@5sb-cb3-yy9,Chipotle Mexican Grill,5720 Washington Ave,Mount Pleasant,2021-04-01T00:00:00-05:00,42.719633,-87.849246,323,1,McDonald's,9,McDonald's,62
222-222@5sb-cb3-yy9,Chipotle Mexican Grill,5720 Washington Ave,Mount Pleasant,2021-04-01T00:00:00-05:00,42.719633,-87.849246,323,2,Kwik Trip,8,Kwik Trip,57
222-222@5sb-cb3-yy9,Chipotle Mexican Grill,5720 Washington Ave,Mount Pleasant,2021-04-01T00:00:00-05:00,42.719633,-87.849246,323,3,Bentley's Pet Stuff,8,Walgreens,55
222-222@5sb-cb3-yy9,Chipotle Mexican Grill,5720 Washington Ave,Mount Pleasant,2021-04-01T00:00:00-05:00,42.719633,-87.849246,323,4,Festival Foods Wisconsin,7,Walmart,53
222-222@5sb-cb3-yy9,Chipotle Mexican Grill,5720 Washington Ave,Mount Pleasant,2021-04-01T00:00:00-05:00,42.719633,-87.849246,323,5,Walgreens,6,BP,47
222-222@627-whv-3dv,Chipotle Mexican Grill,101 US Highway 22,Springfield,2020-05-01T00:00:00-04:00,40.687129,-74.315764,295,1,Dunkin',7,Dunkin',45
222-222@627-whv-3dv,Chipotle Mexican Grill,101 US Highway 22,Springfield,2020-05-01T00:00:00-04:00,40.687129,-74.315764,295,2,Walmart,5,The Home Depot,36
222-222@627-whv-3dv,Chipotle Mexican Grill,101 US Highway 22,Springfield,2020-05-01T00:00:00-04:00,40.687129,-74.315764,295,3,Chick-fil-A,5,Target,35
222-222@627-whv-3dv,Chipotle Mexican Grill,101 US Highway 22,Springfield,2020-05-01T00:00:00-04:00,40.687129,-74.315764,295,4,Target,4,McDonald's,35
222-222@627-whv-3dv,Chipotle Mexican Grill,101 US Highway 22,Springfield,2020-05-01T00:00:00-04:00,40.687129,-74.315764,295,5,Costco,4,Wendy's,32
229-222@63r-bbc-bzf,Chipotle Mexican Grill,2400 Boston St Ste 126,Baltimore,2019-09-01T00:00:00-04:00,39.281382,-76.579907,563,1,Safeway Pharmacy,6,McDonald's,43
229-222@63r-bbc-bzf,Chipotle Mexican Grill,2400 Boston St Ste 126,Baltimore,2019-09-01T00:00:00-04:00,39.281382,-76.579907,563,2,Royal Farms,4,Royal Farms,36
229-222@63r-bbc-bzf,Chipotle Mexican Grill,2400 Boston St Ste 126,Baltimore,2019-09-01T00:00:00-04:00,39.281382,-76.579907,563,3,Harris Teeter,3,Walmart,33
229-222@63r-bbc-bzf,Chipotle Mexican Grill,2400 Boston St Ste 126,Baltimore,2019-09-01T00:00:00-04:00,39.281382,-76.579907,563,4,Target,3,Chick-fil-A,31
229-222@63r-bbc-bzf,Chipotle Mexican Grill,2400 Boston St Ste 126,Baltimore,2019-09-01T00:00:00-04:00,39.281382,-76.579907,563,5,7-Eleven,3,Dunkin',31
228-22d@63r-6cp-djv,Chipotle Mexican Grill,50 Massachusetts Ave NE,Washington,2020-10-01T00:00:00-04:00,38.897715,-77.006886,21,1,Paper Source,19,Walmart,35
228-22d@63r-6cp-djv,Chipotle Mexican Grill,50 Massachusetts Ave NE,Washington,2020-10-01T00:00:00-04:00,38.897715,-77.006886,21,2,Bojangles',10,Paper Source,35
228-22d@63r-6cp-djv,Chipotle Mexican Grill,50 Massachusetts Ave NE,Washington,2020-10-01T00:00:00-04:00,38.897715,-77.006886,21,3,Dunkin',10,Exxon Mobil,35
228-22d@63r-6cp-djv,Chipotle Mexican Grill,50 Massachusetts Ave NE,Washington,2020-10-01T00:00:00-04:00,38.897715,-77.006886,21,4,Petco,5,Subway,35
228-22d@63r-6cp-djv,Chipotle Mexican Grill,50 Massachusetts Ave NE,Washington,2020-10-01T00:00:00-04:00,38.897715,-77.006886,21,5,IHOP,5,McDonald's,29
zzw-222@5sb-d2n-st9,Chipotle Mexican Grill,3846 Willow Rd,Northbrook,2021-08-01T00:00:00-05:00,42.104761,-87.814236,111,1,Target,10,Starbucks,77
zzw-222@5sb-d2n-st9,Chipotle Mexican Grill,3846 Willow Rd,Northbrook,2021-08-01T00:00:00-05:00,42.104761,-87.814236,111,2,Starbucks,7,Target,60
zzw-222@5sb-d2n-st9,Chipotle Mexican Grill,3846 Willow Rd,Northbrook,2021-08-01T00:00:00-05:00,42.104761,-87.814236,111,3,Dunkin',6,McDonald's,60
zzw-222@5sb-d2n-st9,Chipotle Mexican Grill,3846 Willow Rd,Northbrook,2021-08-01T00:00:00-05:00,42.104761,-87.814236,111,4,BP,5,Walgreens,50
zzw-222@5sb-d2n-st9,Chipotle Mexican Grill,3846 Willow Rd,Northbrook,2021-08-01T00:00:00-05:00,42.104761,-87.814236,111,5,Jersey Mike's,5,Dunkin',47
223-222@8fz-dgx-dsq,Chipotle Mexican Grill,804 Cypress Gardens Blvd,Winter Haven,2021-02-01T00:00:00-05:00,28.003619,-81.717527,812,1,Walmart,13,Walmart,69
223-222@8fz-dgx-dsq,Chipotle Mexican Grill,804 Cypress Gardens Blvd,Winter Haven,2021-02-01T00:00:00-05:00,28.003619,-81.717527,812,2,McDonald's,10,McDonald's,65
223-222@8fz-dgx-dsq,Chipotle Mexican Grill,804 Cypress Gardens Blvd,Winter Haven,2021-02-01T00:00:00-05:00,28.003619,-81.717527,812,3,Chick-fil-A,6,Chick-fil-A,43
223-222@8fz-dgx-dsq,Chipotle Mexican Grill,804 Cypress Gardens Blvd,Winter Haven,2021-02-01T00:00:00-05:00,28.003619,-81.717527,812,4,RaceTrac,6,Publix Super Markets,42
223-222@8fz-dgx-dsq,Chipotle Mexican Grill,804 Cypress Gardens Blvd,Winter Haven,2021-02-01T00:00:00-05:00,28.003619,-81.717527,812,5,Wawa,5,RaceTrac,42
223-222@5xc-qz8-jd9,Chipotle Mexican Grill,4530 NE Cornell Rd,Hillsboro,2019-04-01T00:00:00-07:00,45.532968,-122.935123,352,1,Starbucks,8,Starbucks,52
223-222@5xc-qz8-jd9,Chipotle Mexican Grill,4530 NE Cornell Rd,Hillsboro,2019-04-01T00:00:00-07:00,45.532968,-122.935123,352,2,Costco,6,McDonald's,44
223-222@5xc-qz8-jd9,Chipotle Mexican Grill,4530 NE Cornell Rd,Hillsboro,2019-04-01T00:00:00-07:00,45.532968,-122.935123,352,3,McDonald's,5,Costco,39
223-222@5xc-qz8-jd9,Chipotle Mexican Grill,4530 NE Cornell Rd,Hillsboro,2019-04-01T00:00:00-07:00,45.532968,-122.935123,352,4,Raymond James Financial,4,Target,34
223-222@5xc-qz8-jd9,Chipotle Mexican Grill,4530 NE Cornell Rd,Hillsboro,2019-04-01T00:00:00-07:00,45.532968,-122.935123,352,5,24 Hour Fitness,4,Walmart,33
223-222@5r4-q9c-zfz,Chipotle Mexican Grill,2375 S 9th St Ste C,Salina,2020-09-01T00:00:00-05:00,38.798516,-97.612166,533,1,Walmart,14,Walmart,66
223-222@5r4-q9c-zfz,Chipotle Mexican Grill,2375 S 9th St Ste C,Salina,2020-09-01T00:00:00-05:00,38.798516,-97.612166,533,2,Casey's General Stores,9,McDonald's,47
223-222@5r4-q9c-zfz,Chipotle Mexican Grill,2375 S 9th St Ste C,Salina,2020-09-01T00:00:00-05:00,38.798516,-97.612166,533,3,Target,6,Casey's General Stores,43
223-222@5r4-q9c-zfz,Chipotle Mexican Grill,2375 S 9th St Ste C,Salina,2020-09-01T00:00:00-05:00,38.798516,-97.612166,533,4,Sonic,6,Sonic,41
223-222@5r4-q9c-zfz,Chipotle Mexican Grill,2375 S 9th St Ste C,Salina,2020-09-01T00:00:00-05:00,38.798516,-97.612166,533,5,McDonald's,5,Kwik Shop,30
zzw-222@8dj-gr4-vfz,Chipotle Mexican Grill,4204 US Highway 98 N,Lakeland,2021-02-01T00:00:00-05:00,28.095835,-81.974729,670,1,Chick-fil-A,9,Walmart,64
zzw-222@8dj-gr4-vfz,Chipotle Mexican Grill,4204 US Highway 98 N,Lakeland,2021-02-01T00:00:00-05:00,28.095835,-81.974729,670,2,Walmart,9,McDonald's,58
zzw-222@8dj-gr4-vfz,Chipotle Mexican Grill,4204 US Highway 98 N,Lakeland,2021-02-01T00:00:00-05:00,28.095835,-81.974729,670,3,McDonald's,8,Chick-fil-A,53
zzw-222@8dj-gr4-vfz,Chipotle Mexican Grill,4204 US Highway 98 N,Lakeland,2021-02-01T00:00:00-05:00,28.095835,-81.974729,670,4,Wawa,5,Publix Super Markets,41
zzw-222@8dj-gr4-vfz,Chipotle Mexican Grill,4204 US Highway 98 N,Lakeland,2021-02-01T00:00:00-05:00,28.095835,-81.974729,670,5,Starbucks,4,Walgreens,37
22c-222@5xc-kjn-fcq,Chipotle Mexican Grill,14795 SW Murray Scholls Dr Ste 112,Beaverton,2021-02-01T00:00:00-08:00,45.43777,-122.829271,143,1,Starbucks,7,Starbucks,58
22c-222@5xc-kjn-fcq,Chipotle Mexican Grill,14795 SW Murray Scholls Dr Ste 112,Beaverton,2021-02-01T00:00:00-08:00,45.43777,-122.829271,143,2,Walmart,6,Walmart,50
22c-222@5xc-kjn-fcq,Chipotle Mexican Grill,14795 SW Murray Scholls Dr Ste 112,Beaverton,2021-02-01T00:00:00-08:00,45.43777,-122.829271,143,3,Dutch Bros Coffee,6,McDonald's,49
22c-222@5xc-kjn-fcq,Chipotle Mexican Grill,14795 SW Murray Scholls Dr Ste 112,Beaverton,2021-02-01T00:00:00-08:00,45.43777,-122.829271,143,4,Planet Fitness,5,Chevron,40
22c-222@5xc-kjn-fcq,Chipotle Mexican Grill,14795 SW Murray Scholls Dr Ste 112,Beaverton,2021-02-01T00:00:00-08:00,45.43777,-122.829271,143,5,Chick-fil-A,5,Target,37
zzw-228@5sb-d2d-zzz,Chipotle Mexican Grill,675 Deerfield Rd Ste 120,Deerfield,2021-10-01T00:00:00-05:00,42.16716,-87.844253,447,1,Starbucks,10,Starbucks,62
zzw-228@5sb-d2d-zzz,Chipotle Mexican Grill,675 Deerfield Rd Ste 120,Deerfield,2021-10-01T00:00:00-05:00,42.16716,-87.844253,447,2,McDonald's,6,Walgreens Pharmacy,51
zzw-228@5sb-d2d-zzz,Chipotle Mexican Grill,675 Deerfield Rd Ste 120,Deerfield,2021-10-01T00:00:00-05:00,42.16716,-87.844253,447,3,Jewel-Osco,6,McDonald's,50
zzw-228@5sb-d2d-zzz,Chipotle Mexican Grill,675 Deerfield Rd Ste 120,Deerfield,2021-10-01T00:00:00-05:00,42.16716,-87.844253,447,4,Walgreens Pharmacy,5,Jewel-Osco,47
zzw-228@5sb-d2d-zzz,Chipotle Mexican Grill,675 Deerfield Rd Ste 120,Deerfield,2021-10-01T00:00:00-05:00,42.16716,-87.844253,447,5,Walgreens,5,Target,47
224-222@8fz-thj-tgk,Chipotle Mexican Grill,4655 Pga Blvd Bldg F,Palm Beach Gardens,2019-01-01T00:00:00-05:00,26.838781,-80.10891,722,1,Publix Super Markets,4,Publix Super Markets,46
224-222@8fz-thj-tgk,Chipotle Mexican Grill,4655 Pga Blvd Bldg F,Palm Beach Gardens,2019-01-01T00:00:00-05:00,26.838781,-80.10891,722,2,Starbucks,3,McDonald's,40
224-222@8fz-thj-tgk,Chipotle Mexican Grill,4655 Pga Blvd Bldg F,Palm Beach Gardens,2019-01-01T00:00:00-05:00,26.838781,-80.10891,722,3,Shell Oil,3,Starbucks,39
224-222@8fz-thj-tgk,Chipotle Mexican Grill,4655 Pga Blvd Bldg F,Palm Beach Gardens,2019-01-01T00:00:00-05:00,26.838781,-80.10891,722,4,7-Eleven,3,Chick-fil-A,33
224-222@8fz-thj-tgk,Chipotle Mexican Grill,4655 Pga Blvd Bldg F,Palm Beach Gardens,2019-01-01T00:00:00-05:00,26.838781,-80.10891,722,5,McDonald's,2,Dunkin',32
22n-222@627-s8h-vj9,Chipotle Mexican Grill,680 Avenue of the Americas,New York,2020-06-01T00:00:00-04:00,40.741741,-73.993372,138,1,Dunkin',6,Starbucks,36
22n-222@627-s8h-vj9,Chipotle Mexican Grill,680 Avenue of the Americas,New York,2020-06-01T00:00:00-04:00,40.741741,-73.993372,138,2,Starbucks,4,Dunkin',36
22n-222@627-s8h-vj9,Chipotle Mexican Grill,680 Avenue of the Americas,New York,2020-06-01T00:00:00-04:00,40.741741,-73.993372,138,3,McDonald's,3,Subway,30
22n-222@627-s8h-vj9,Chipotle Mexican Grill,680 Avenue of the Americas,New York,2020-06-01T00:00:00-04:00,40.741741,-73.993372,138,4,BP,2,The Home Depot,23
22n-222@627-s8h-vj9,Chipotle Mexican Grill,680 Avenue of the Americas,New York,2020-06-01T00:00:00-04:00,40.741741,-73.993372,138,5,The Home Depot,2,McDonald's,23
223-222@8dj-jv9-rc5,Chipotle Mexican Grill,2011 N Dale Mabry Hwy,Tampa,2019-10-01T00:00:00-04:00,27.960161,-82.505023,691,1,Walmart,11,Walmart,65
223-222@8dj-jv9-rc5,Chipotle Mexican Grill,2011 N Dale Mabry Hwy,Tampa,2019-10-01T00:00:00-04:00,27.960161,-82.505023,691,2,McDonald's,6,McDonald's,52
223-222@8dj-jv9-rc5,Chipotle Mexican Grill,2011 N Dale Mabry Hwy,Tampa,2019-10-01T00:00:00-04:00,27.960161,-82.505023,691,3,Wawa,5,Starbucks,36
223-222@8dj-jv9-rc5,Chipotle Mexican Grill,2011 N Dale Mabry Hwy,Tampa,2019-10-01T00:00:00-04:00,27.960161,-82.505023,691,4,Shell Oil,4,Wawa,36
223-222@8dj-jv9-rc5,Chipotle Mexican Grill,2011 N Dale Mabry Hwy,Tampa,2019-10-01T00:00:00-04:00,27.960161,-82.505023,691,5,Starbucks,4,Publix Super Markets,35
zzw-222@63v-by5-yqf,Chipotle Mexican Grill,2042 Portage Trl,Cuyahoga Falls,2019-03-01T00:00:00-05:00,41.148133,-81.507612,454,1,Walmart,4,McDonald's,50
zzw-222@63v-by5-yqf,Chipotle Mexican Grill,2042 Portage Trl,Cuyahoga Falls,2019-03-01T00:00:00-05:00,41.148133,-81.507612,454,2,GetGo,4,Walmart,41
zzw-222@63v-by5-yqf,Chipotle Mexican Grill,2042 Portage Trl,Cuyahoga Falls,2019-03-01T00:00:00-05:00,41.148133,-81.507612,454,3,McDonald's,4,Starbucks,38
zzw-222@63v-by5-yqf,Chipotle Mexican Grill,2042 Portage Trl,Cuyahoga Falls,2019-03-01T00:00:00-05:00,41.148133,-81.507612,454,4,Cinemark Theatres,4,Circle K,33
zzw-222@63v-by5-yqf,Chipotle Mexican Grill,2042 Portage Trl,Cuyahoga Falls,2019-03-01T00:00:00-05:00,41.148133,-81.507612,454,5,Starbucks,3,GetGo,31
zzw-224@5pw-2km-yqf,Chipotle Mexican Grill,6230 W 95th St Ste B,Oak Lawn,2020-12-01T00:00:00-06:00,41.720002,-87.776479,198,1,Walgreens,8,McDonald's,59
zzw-224@5pw-2km-yqf,Chipotle Mexican Grill,6230 W 95th St Ste B,Oak Lawn,2020-12-01T00:00:00-06:00,41.720002,-87.776479,198,2,McDonald's,8,Walgreens,54
zzw-224@5pw-2km-yqf,Chipotle Mexican Grill,6230 W 95th St Ste B,Oak Lawn,2020-12-01T00:00:00-06:00,41.720002,-87.776479,198,3,Kohl's,6,Walmart,53
zzw-224@5pw-2km-yqf,Chipotle Mexican Grill,6230 W 95th St Ste B,Oak Lawn,2020-12-01T00:00:00-06:00,41.720002,-87.776479,198,4,Starbucks,5,Target,48
zzw-224@5pw-2km-yqf,Chipotle Mexican Grill,6230 W 95th St Ste B,Oak Lawn,2020-12-01T00:00:00-06:00,41.720002,-87.776479,198,5,Target,5,Jewel-Osco,45
222-222@627-wj9-cbk,Chipotle Mexican Grill,1255 Raritan Rd Unit 410,Clark,2020-08-01T00:00:00-04:00,40.632769,-74.305092,62,1,Panda Express,12,Dunkin',67
222-222@627-wj9-cbk,Chipotle Mexican Grill,1255 Raritan Rd Unit 410,Clark,2020-08-01T00:00:00-04:00,40.632769,-74.305092,62,2,Taco Bell,7,Walmart,42
222-222@627-wj9-cbk,Chipotle Mexican Grill,1255 Raritan Rd Unit 410,Clark,2020-08-01T00:00:00-04:00,40.632769,-74.305092,62,3,Barnes and Noble,5,Wendy's,42
222-222@627-wj9-cbk,Chipotle Mexican Grill,1255 Raritan Rd Unit 410,Clark,2020-08-01T00:00:00-04:00,40.632769,-74.305092,62,4,7-Eleven,5,McDonald's,40
222-222@627-wj9-cbk,Chipotle Mexican Grill,1255 Raritan Rd Unit 410,Clark,2020-08-01T00:00:00-04:00,40.632769,-74.305092,62,5,Wendy's,5,7-Eleven,36
zzw-225@627-v44-7yv,Chipotle Mexican Grill,301 Mount Hope Ave,Rockaway,2021-11-01T00:00:00-04:00,40.906878,-74.553278,6342,1,Simon mall,100,Simon mall,100
zzw-225@627-v44-7yv,Chipotle Mexican Grill,301 Mount Hope Ave,Rockaway,2021-11-01T00:00:00-04:00,40.906878,-74.553278,6342,2,Target,11,Walmart,54
zzw-225@627-v44-7yv,Chipotle Mexican Grill,301 Mount Hope Ave,Rockaway,2021-11-01T00:00:00-04:00,40.906878,-74.553278,6342,3,Red Robin Gourmet Burgers,11,Dunkin',50
zzw-225@627-v44-7yv,Chipotle Mexican Grill,301 Mount Hope Ave,Rockaway,2021-11-01T00:00:00-04:00,40.906878,-74.553278,6342,4,Walmart,8,Target,41
zzw-225@627-v44-7yv,Chipotle Mexican Grill,301 Mount Hope Ave,Rockaway,2021-11-01T00:00:00-04:00,40.906878,-74.553278,6342,5,Dunkin',6,Starbucks,35
225-222@8gf-r6z-mc5,Chipotle Mexican Grill,946 Patton Ave Ste 30,Asheville,2019-04-01T00:00:00-04:00,35.586707,-82.58743,160,1,Stanton Optical,9,McDonald's,52
225-222@8gf-r6z-mc5,Chipotle Mexican Grill,946 Patton Ave Ste 30,Asheville,2019-04-01T00:00:00-04:00,35.586707,-82.58743,160,2,McDonald's,6,Shell Oil,49
225-222@8gf-r6z-mc5,Chipotle Mexican Grill,946 Patton Ave Ste 30,Asheville,2019-04-01T00:00:00-04:00,35.586707,-82.58743,160,3,Gold's Gym,4,Walmart,48
225-222@8gf-r6z-mc5,Chipotle Mexican Grill,946 Patton Ave Ste 30,Asheville,2019-04-01T00:00:00-04:00,35.586707,-82.58743,160,4,Starbucks,4,Ingles Markets,48
225-222@8gf-r6z-mc5,Chipotle Mexican Grill,946 Patton Ave Ste 30,Asheville,2019-04-01T00:00:00-04:00,35.586707,-82.58743,160,5,Ingles Markets,4,Starbucks,37
224-222@63t-q79-whq,Chipotle Mexican Grill,7689 Crile Rd,Concord Township,2020-07-01T00:00:00-04:00,41.66228,-81.240635,787,1,McDonald's,7,McDonald's,56
224-222@63t-q79-whq,Chipotle Mexican Grill,7689 Crile Rd,Concord Township,2020-07-01T00:00:00-04:00,41.66228,-81.240635,787,2,Walmart,5,Walmart,49
224-222@63t-q79-whq,Chipotle Mexican Grill,7689 Crile Rd,Concord Township,2020-07-01T00:00:00-04:00,41.66228,-81.240635,787,3,Starbucks,3,Chick-fil-A,39
224-222@63t-q79-whq,Chipotle Mexican Grill,7689 Crile Rd,Concord Township,2020-07-01T00:00:00-04:00,41.66228,-81.240635,787,4,Sheetz,3,Sheetz,33
224-222@63t-q79-whq,Chipotle Mexican Grill,7689 Crile Rd,Concord Township,2020-07-01T00:00:00-04:00,41.66228,-81.240635,787,5,Shell Oil,3,Dairy Queen,33
225-222@5sb-94j-n5z,Chipotle Mexican Grill,751 S Perryville Rd,Rockford,2019-09-01T00:00:00-05:00,42.26449,-88.980621,825,1,Walmart,7,McDonald's,60
225-222@5sb-94j-n5z,Chipotle Mexican Grill,751 S Perryville Rd,Rockford,2019-09-01T00:00:00-05:00,42.26449,-88.980621,825,2,McDonald's,5,Walmart,56
225-222@5sb-94j-n5z,Chipotle Mexican Grill,751 S Perryville Rd,Rockford,2019-09-01T00:00:00-05:00,42.26449,-88.980621,825,3,Target,5,Target,37
